file_path,num_rows,num_columns,column_name,inferred_column_role
data\processed\vinbigdata\phase_1d_kappa\reader_column_candidates.csv,8,5,num_unique_values,metadata
data\processed\vinbigdata\phase_1d_kappa\reader_column_candidates.csv,8,5,sample_values,unknown
data\processed\vinbigdata\phase_1d_kappa\reader_column_candidates.csv,8,5,reason_for_candidate_selection,unknown
data\processed\vinbigdata\phase_1d_kappa\reader_count_per_image.csv,4894,5,file_path,unknown
data\processed\vinbigdata\phase_1d_kappa\reader_count_per_image.csv,4894,5,image_id,image_id
data\processed\vinbigdata\phase_1d_kappa\reader_count_per_image.csv,4894,5,selected_reader_column,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\reader_count_per_image.csv,4894,5,num_unique_readers,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\reader_count_per_image.csv,4894,5,num_annotation_rows,metadata
data\raw\vinbigdata\metadata_subset\abnormal_image_ids.csv,4394,2,image_id,image_id
data\raw\vinbigdata\metadata_subset\abnormal_image_ids.csv,4394,2,subset_type,unknown
data\raw\vinbigdata\metadata_subset\normal_image_ids_500.csv,500,2,image_id,image_id
data\raw\vinbigdata\metadata_subset\normal_image_ids_500.csv,500,2,subset_type,unknown
data\raw\vinbigdata\metadata_subset\positive_normal_summary.csv,1,5,total_subset_images,metadata
data\raw\vinbigdata\metadata_subset\positive_normal_summary.csv,1,5,abnormal_images,unknown
data\raw\vinbigdata\metadata_subset\positive_normal_summary.csv,1,5,normal_no_finding_images,unknown
data\raw\vinbigdata\metadata_subset\positive_normal_summary.csv,1,5,abnormal_ratio,unknown
data\raw\vinbigdata\metadata_subset\positive_normal_summary.csv,1,5,normal_ratio,unknown
data\raw\vinbigdata\metadata_subset\selected_image_ids.csv,4894,2,image_id,image_id
data\raw\vinbigdata\metadata_subset\selected_image_ids.csv,4894,2,subset_type,unknown
data\raw\vinbigdata\metadata_subset\subset_class_distribution.csv,15,4,class_id,class_name
data\raw\vinbigdata\metadata_subset\subset_class_distribution.csv,15,4,class_name,class_name
data\raw\vinbigdata\metadata_subset\subset_class_distribution.csv,15,4,annotation_rows,unknown
data\raw\vinbigdata\metadata_subset\subset_class_distribution.csv,15,4,num_images,metadata
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,random_seed,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,target_normal_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,original_total_annotation_rows,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,original_total_unique_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,original_abnormal_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,original_normal_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,selected_images_before_missing_check,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,selected_images_after_missing_check,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,selected_abnormal_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,selected_normal_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,subset_annotation_rows,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,subset_bbox_rows_without_no_finding,bbox_coordinate
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,subset_positive_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,subset_no_finding_images,unknown
data\raw\vinbigdata\metadata_subset\subset_summary.csv,1,15,missing_dicom_images,unknown
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,image_id,image_id
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,class_name,class_name
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,class_id,class_name
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,rad_id,reader_candidate
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,x_min,bbox_coordinate
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,y_min,bbox_coordinate
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,x_max,bbox_coordinate
data\raw\vinbigdata\metadata_subset\subset_train_annotations.csv,37596,8,y_max,bbox_coordinate
data\raw\vinbigdata\original\train.csv,67914,8,image_id,image_id
data\raw\vinbigdata\original\train.csv,67914,8,class_name,class_name
data\raw\vinbigdata\original\train.csv,67914,8,class_id,class_name
data\raw\vinbigdata\original\train.csv,67914,8,rad_id,reader_candidate
data\raw\vinbigdata\original\train.csv,67914,8,x_min,bbox_coordinate
data\raw\vinbigdata\original\train.csv,67914,8,y_min,bbox_coordinate
data\raw\vinbigdata\original\train.csv,67914,8,x_max,bbox_coordinate
data\raw\vinbigdata\original\train.csv,67914,8,y_max,bbox_coordinate
reports\phase2_dataset_engineering\phase2a_dicom_bbox_boundary_summary.csv,40,2,metric,metadata
reports\phase2_dataset_engineering\phase2a_dicom_bbox_boundary_summary.csv,40,2,value,metadata
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,image_id,image_id
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,subset_type,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,dicom_path,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,dicom_readable,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,image_width,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,image_height,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,rows_tag,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,columns_tag,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,photometric_interpretation,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,bits_stored,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_spacing,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,dicom_error,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_readable,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_ndim,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_empty,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_shape,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_shape_matches_rows_columns,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_min,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_max,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_mean,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_has_nan,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_has_inf,unknown
reports\phase2_dataset_engineering\phase2a_image_metadata.csv,4894,23,pixel_error,unknown
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,image_id,image_id
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,class_id,class_name
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,class_name,class_name
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,x_min,bbox_coordinate
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,y_min,bbox_coordinate
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,x_max,bbox_coordinate
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,y_max,bbox_coordinate
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,image_width,unknown
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,image_height,unknown
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,has_image_dims,unknown
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,boundary_check,unknown
reports\phase2_dataset_engineering\phase2a_invalid_bbox_boundary_cases.csv,0,12,invalid_reasons,unknown
reports\phase2_dataset_engineering\phase2a_invalid_dicom_files.csv,0,4,image_id,image_id
reports\phase2_dataset_engineering\phase2a_invalid_dicom_files.csv,0,4,subset_type,unknown
reports\phase2_dataset_engineering\phase2a_invalid_dicom_files.csv,0,4,dicom_path,unknown
reports\phase2_dataset_engineering\phase2a_invalid_dicom_files.csv,0,4,dicom_error,unknown
reports\phase2_dataset_engineering\phase2a_missing_dicom_files.csv,0,2,image_id,image_id
reports\phase2_dataset_engineering\phase2a_missing_dicom_files.csv,0,2,subset_type,unknown
reports\phase_1a_dataset_overview\bbox_distribution.csv,4894,5,image_id,image_id
reports\phase_1a_dataset_overview\bbox_distribution.csv,4894,5,num_bbox,bbox_coordinate
reports\phase_1a_dataset_overview\bbox_distribution.csv,4894,5,has_bbox,bbox_coordinate
reports\phase_1a_dataset_overview\bbox_distribution.csv,4894,5,is_normal,unknown
reports\phase_1a_dataset_overview\bbox_distribution.csv,4894,5,is_abnormal,unknown
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,class_id,class_name
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,class_name,class_name
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,num_bbox,bbox_coordinate
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,num_images,metadata
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,bbox_percentage,bbox_coordinate
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,image_percentage,unknown
reports\phase_1a_dataset_overview\class_distribution.csv,14,7,mean_bbox_per_image_for_class,class_name
reports\phase_1a_dataset_overview\dataset_summary.csv,14,2,metric,metadata
reports\phase_1a_dataset_overview\dataset_summary.csv,14,2,value,metadata
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,image_id,image_id
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,image_type,unknown
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,num_bbox,bbox_coordinate
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,num_unique_classes,class_name
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,class_names,class_name
reports\phase_1a_dataset_overview\image_level_distribution.csv,4894,6,class_ids,class_name
reports\phase_1b_annotation_quality\annotation_quality_summary.csv,19,2,metric,metadata
reports\phase_1b_annotation_quality\annotation_quality_summary.csv,19,2,value,metadata
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,class_id,class_name
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,class_name,class_name
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,num_bbox,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,invalid_bbox_count,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,invalid_bbox_percentage,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,mean_bbox_width,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,median_bbox_width,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,mean_bbox_height,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,median_bbox_height,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,mean_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,median_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,mean_aspect_ratio,metadata
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,median_aspect_ratio,metadata
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,very_small_bbox_count,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,very_large_bbox_count,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_class.csv,14,16,duplicate_candidate_count,unknown
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,image_id,image_id
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,image_type,unknown
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,num_bbox,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,num_invalid_bbox,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,num_valid_bbox,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,num_unique_classes,class_name
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,has_invalid_bbox,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,has_duplicate_candidate,unknown
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,mean_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,median_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,min_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_quality_by_image.csv,4894,12,max_bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,image_id,image_id
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,class_id,class_name
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,class_name,class_name
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,x_min,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,y_min,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,x_max,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,y_max,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_width,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_height,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_aspect_ratio,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_area_group,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_width_group,bbox_coordinate
reports\phase_1b_annotation_quality\bbox_size_distribution.csv,36096,14,bbox_height_group,bbox_coordinate
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,image_id,image_id
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,class_id,class_name
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,class_name,class_name
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,bbox_index_1,bbox_coordinate
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,bbox_index_2,bbox_coordinate
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,iou,unknown
reports\phase_1b_annotation_quality\duplicate_bbox_candidates.csv,78,7,duplicate_type,unknown
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,image_id,image_id
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,class_id,class_name
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,class_name,class_name
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,x_min,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,y_min,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,x_max,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,y_max,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,bbox_width,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,bbox_height,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,bbox_area,bbox_coordinate
reports\phase_1b_annotation_quality\invalid_bbox_rows.csv,0,11,invalid_reason,unknown
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,class_id,class_name
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,class_name,class_name
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,num_bbox,bbox_coordinate
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,num_images,metadata
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,invalid_bbox_count,bbox_coordinate
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,duplicate_candidate_count,unknown
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,decision,unknown
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,rationale,unknown
reports\phase_1c_dataset_scope_decision\class_scope_decision.csv,14,9,risk_or_limitation,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,decision_id,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,decision_area,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,decision,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,status,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,evidence_source,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,rationale,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,risk_or_limitation,unknown
reports\phase_1c_dataset_scope_decision\dataset_scope_decision_summary.csv,9,8,impact_on_next_phase,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,limitation_id,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,limitation,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,source_phase,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,evidence,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,severity,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,impact,unknown
reports\phase_1c_dataset_scope_decision\limitation_register.csv,7,7,handling_plan,unknown
reports\phase_1c_dataset_scope_decision\next_phase_readiness_checklist.csv,16,5,check_id,unknown
reports\phase_1c_dataset_scope_decision\next_phase_readiness_checklist.csv,16,5,check_item,unknown
reports\phase_1c_dataset_scope_decision\next_phase_readiness_checklist.csv,16,5,status,unknown
reports\phase_1c_dataset_scope_decision\next_phase_readiness_checklist.csv,16,5,evidence,unknown
reports\phase_1c_dataset_scope_decision\next_phase_readiness_checklist.csv,16,5,notes,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,policy_item,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,decision,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,evidence,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,rationale,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,risk_or_limitation,unknown
reports\phase_1c_dataset_scope_decision\normal_policy_decision.csv,5,6,impact_on_next_phase,unknown
