class_id,class_name,reader_triplet,n_images_evaluated,reader_pair,kappa_type,cohen_kappa,interpretation,weighted_kappa_used,note
5,ILD,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.46281,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
5,ILD,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.444904,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
5,ILD,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.508941,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
6,Infiltration,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.407369,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
6,Infiltration,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.423855,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
6,Infiltration,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.407711,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
7,Lung Opacity,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.301433,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
7,Lung Opacity,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.41152,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
7,Lung Opacity,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.290159,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
8,Nodule/Mass,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.450825,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
8,Nodule/Mass,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.55054,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
8,Nodule/Mass,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.45677,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
9,Other lesion,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.349307,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
9,Other lesion,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.287719,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
9,Other lesion,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.25364,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
10,Pleural effusion,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.721529,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
10,Pleural effusion,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.664657,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
10,Pleural effusion,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.622093,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
11,Pleural thickening,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.451059,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
11,Pleural thickening,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.321056,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
11,Pleural thickening,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.309532,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
12,Pneumothorax,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.768169,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
12,Pneumothorax,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.687497,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
12,Pneumothorax,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.800145,ALMOST_PERFECT,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
13,Pulmonary fibrosis,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.663263,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
13,Pulmonary fibrosis,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.574331,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
13,Pulmonary fibrosis,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.604281,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
